"biome","product","u","s","eps_d","eps_s_dom","eps_s_imp","source"
"Boreal","SL",0.7,0.9,-0.4,0.9,1.2,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Boreal","PW",0.7,0.9,-0.3,0.6,0.8,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Boreal","WF",0.8,0.85,-0.15,0.4,0.5,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Temperate","SL",0.6,0.9,-0.45,0.5,1.1,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Temperate","PW",0.6,0.9,-0.3,0.45,0.8,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Temperate","WF",0.5,0.85,-0.25,0.35,0.5,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Temperate_UK","SL",0.32,0.95,-0.2,0.39,1.5,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Temperate_UK","PW",0.25,0.95,-0.25,0.5,1.2,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Temperate_UK","WF",0.3,0.9,-0.15,0.4,0.8,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Mediterranean","SL",0.8,0.85,-0.08,0.3,0.9,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Mediterranean","PW",0.8,0.85,-0.15,0.2,0.7,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
"Mediterranean","WF",0.85,0.8,-0.1,0.2,0.4,"ETTS V (Kangas & Baudin 2003); Kallio & Solberg 2018; Borzykowski 2019; Morland 2018 (manuscript Table leakage_sources)"
