"biome","species_key","R","source"
"Boreal","R_mixed",1,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Boreal","R_Scots_pine",1.1,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Boreal","R_Norway_spruce",1.35,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_mixed",1,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Norway_spruce",1.35,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Native_broadleaves",0.8,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Mixed_conifers",1.35,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Climate_adapted_mix",0.75,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Old_growth",0.7,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Mixed_broadleaves",0.8,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Beech_oak",0.8,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Native_pinewood",1.1,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate","R_Productive_oak_beech",0.8,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate_UK","R_mixed",1,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate_UK","R_Native_broadleaves",0.8,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate_UK","R_Sitka_spruce",1.35,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate_UK","R_Mixed_conifers",1.35,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Temperate_UK","R_Norway_spruce",1.35,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Mediterranean","R_mixed",1,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Mediterranean","R_Maritime_pine",1.1,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Mediterranean","R_Cork_oak",0.8,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
"Mediterranean","R_Aleppo_pine",1.05,"JRC CRCF forest-type loss ratios (Marinelli 2026); Jactel & Brockerhoff (manuscript)"
